income,property_value,loan_amount,interest_rate,race_Black,race_Joint,race_Multiracial,race_Native American,race_Pacific Islander,race_Unknown,race_White,covenant_count
250.0,815000.0,725000.0,5.875,True,False,False,False,False,False,False,0.0
80.0,475000.0,315000.0,5.75,False,False,False,False,False,False,False,0.0
74.0,215000.0,205000.0,6.0,False,False,False,False,False,False,True,0.0
218.0,615000.0,555000.0,6.875,False,False,False,False,False,False,True,0.0
44.0,205000.0,195000.0,6.125,False,False,False,False,False,True,False,2.0
83.0,285000.0,275000.0,5.99,False,False,False,False,False,False,True,0.0
96.0,455000.0,455000.0,5.125,False,False,False,False,False,True,False,0.0
88.0,325000.0,315000.0,6.499,False,False,False,False,False,False,True,0.0
65.0,195000.0,175000.0,6.5,False,False,False,False,False,False,True,0.0
96.0,255000.0,245000.0,6.75,False,False,False,False,False,True,False,0.0
96.0,605000.0,105000.0,12.0,False,False,False,False,False,True,False,173.0
121.0,165000.0,125000.0,6.125,False,False,False,False,False,False,True,0.0
67.0,185000.0,15000.0,0.0,False,False,False,False,False,True,False,0.0
67.0,355000.0,325000.0,6.625,False,False,False,False,False,False,True,461.0
291.0,755000.0,605000.0,7.0,False,True,False,False,False,False,False,0.0
72.0,245000.0,235000.0,7.625,False,False,False,False,False,False,True,0.0
319.0,565000.0,535000.0,6.125,False,False,False,False,False,False,True,0.0
108.0,695000.0,425000.0,8.0,False,False,False,False,False,False,True,0.0
29.0,45000.0,35000.0,6.75,False,False,False,False,False,False,True,0.0
94.0,295000.0,285000.0,7.875,False,False,False,False,False,False,False,0.0
988.0,515000.0,265000.0,6.75,False,False,False,False,False,False,True,0.0
108.0,405000.0,325000.0,7.125,False,False,False,False,False,False,True,0.0
96.0,425000.0,395000.0,5.99,False,False,False,False,False,True,False,0.0
207.0,665000.0,505000.0,5.99,False,False,False,False,False,True,False,0.0
91.0,295000.0,295000.0,6.125,False,False,False,False,False,False,True,0.0
153.0,685000.0,575000.0,7.5,False,False,False,False,False,False,True,0.0
172.0,265000.0,195000.0,7.99,False,False,False,False,False,False,False,0.0
67.0,85000.0,75000.0,7.375,False,False,False,False,False,False,True,0.0
150.0,305000.0,295000.0,7.0,False,True,False,False,False,False,False,13.0
99.0,315000.0,15000.0,0.0,True,False,False,False,False,False,False,0.0
147.0,335000.0,265000.0,5.875,False,False,False,False,False,True,False,0.0
97.0,325000.0,325000.0,5.875,False,False,False,False,False,False,True,0.0
0.0,295000.0,225000.0,8.75,False,False,False,False,False,False,True,0.0
71.0,305000.0,245000.0,5.875,False,False,False,False,False,False,True,0.0
112.0,335000.0,335000.0,7.125,False,False,False,False,False,False,True,0.0
96.0,445000.0,435000.0,6.125,False,False,False,False,False,True,False,0.0
52.0,215000.0,185000.0,7.125,False,False,False,False,False,False,True,34.0
62.0,265000.0,255000.0,6.75,False,False,False,True,False,False,False,0.0
96.0,355000.0,305000.0,6.875,False,False,False,False,False,True,False,0.0
126.0,645000.0,485000.0,6.49,False,False,False,False,False,False,True,0.0
60.0,235000.0,215000.0,6.99,False,False,False,False,False,False,True,0.0
61.0,275000.0,265000.0,7.625,False,False,False,False,False,True,False,539.0
60.0,285000.0,255000.0,6.5,False,False,False,False,False,False,False,0.0
96.0,645000.0,615000.0,7.125,False,False,False,False,False,True,False,0.0
96.0,135000.0,135000.0,6.25,False,False,False,False,False,True,False,0.0
380.0,1025000.0,915000.0,6.5,False,False,False,False,False,False,True,0.0
193.0,565000.0,455000.0,5.875,False,False,False,False,False,False,True,0.0
235.0,345000.0,275000.0,6.5,False,False,False,False,False,False,False,0.0
92.0,435000.0,335000.0,5.99,False,False,False,False,False,False,True,0.0
163.0,395000.0,375000.0,7.307,False,False,False,False,False,False,True,0.0
85.0,365000.0,265000.0,6.0,False,False,False,False,False,False,True,0.0
48.0,235000.0,215000.0,6.875,False,False,False,False,False,False,True,0.0
91.0,235000.0,235000.0,7.0,False,True,False,False,False,False,False,0.0
77.0,155000.0,15000.0,0.0,False,False,False,False,False,False,True,0.0
87.0,275000.0,15000.0,6.75,False,False,False,False,False,False,True,0.0
250.0,665000.0,525000.0,6.5,False,False,False,False,False,True,False,0.0
165.0,585000.0,525000.0,5.75,False,False,False,False,False,False,True,0.0
96.0,575000.0,405000.0,6.5,False,False,False,False,False,True,False,0.0
79.0,315000.0,305000.0,6.875,False,False,False,False,False,False,True,0.0
137.0,425000.0,385000.0,5.25,False,False,False,False,False,False,True,70.0
112.0,185000.0,145000.0,7.125,False,False,False,False,False,False,True,0.0
127.0,375000.0,355000.0,5.999,False,False,False,False,False,False,True,0.0
40.0,185000.0,155000.0,5.99,False,False,False,False,False,False,True,0.0
85.0,325000.0,315000.0,7.5,True,False,False,False,False,False,False,0.0
144.0,275000.0,225000.0,6.5,False,False,False,False,False,False,True,0.0
85.0,265000.0,245000.0,6.75,False,False,False,False,False,False,True,0.0
239.0,665000.0,595000.0,5.525,False,False,False,False,False,False,True,0.0
99.0,265000.0,255000.0,6.75,False,False,False,False,False,False,True,0.0
52.0,155000.0,155000.0,7.25,False,False,False,False,False,False,True,0.0
65.0,205000.0,165000.0,8.875,False,False,False,False,False,False,True,0.0
396.0,1555000.0,1245000.0,3.0,False,False,False,False,False,False,True,0.0
75.0,295000.0,205000.0,5.49,False,False,False,False,False,True,False,0.0
75.0,355000.0,155000.0,6.49,False,False,False,False,False,False,False,0.0
46.0,195000.0,175000.0,6.75,False,False,False,False,False,True,False,0.0
78.0,225000.0,215000.0,7.99,False,False,False,False,False,False,True,0.0
91.0,315000.0,315000.0,6.5,True,False,False,False,False,False,False,0.0
101.0,365000.0,145000.0,6.625,False,False,False,False,False,False,True,0.0
79.0,315000.0,115000.0,5.0,False,False,False,False,False,False,True,0.0
148.0,675000.0,335000.0,7.625,False,False,False,False,False,True,False,0.0
