income,property_value,loan_amount,interest_rate,black_high_density,black_vhigh_density,race_Black,race_Joint,race_Multiracial,race_Native American,race_Pacific Islander,race_Unknown,race_White,cd_High (101-200),cd_Low (1-50),cd_Medium (51-100),cd_Very High (>200)
68.0,265000.0,255000.0,6.25,False,False,False,False,False,False,False,False,True,False,False,False,True
73.0,375000.0,235000.0,7.25,False,False,False,False,False,False,False,False,True,False,False,False,False
96.0,405000.0,325000.0,6.125,False,False,False,False,False,False,False,False,True,False,False,False,False
39.0,225000.0,15000.0,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False
52.0,205000.0,205000.0,7.375,False,False,False,False,False,False,False,False,True,False,False,False,False
83.0,325000.0,295000.0,6.25,False,False,False,False,False,False,False,False,True,False,False,False,False
155.0,675000.0,205000.0,6.025,False,False,False,False,False,False,False,False,True,False,False,False,False
322.0,755000.0,675000.0,7.125,False,False,False,False,False,False,False,False,True,False,False,False,False
79.0,165000.0,165000.0,6.125,False,False,False,False,False,False,False,False,True,False,False,False,False
190.0,405000.0,385000.0,7.125,False,False,False,False,False,False,False,False,True,False,False,False,False
180.0,325000.0,445000.0,2.75,False,False,False,False,False,False,False,False,True,False,False,False,False
296.0,655000.0,615000.0,6.625,False,False,False,False,False,False,False,False,True,False,False,False,False
99.0,325000.0,295000.0,6.75,False,False,False,False,False,False,False,False,True,False,False,False,False
96.0,385000.0,375000.0,6.0,False,False,False,False,False,False,False,True,False,False,False,False,False
96.0,195000.0,195000.0,3.5,False,False,False,False,False,False,False,True,False,False,False,False,False
96.0,375000.0,355000.0,5.875,False,False,False,False,False,False,False,True,False,False,False,False,False
318.0,705000.0,665000.0,7.875,False,False,False,False,False,False,False,False,True,False,False,False,False
91.0,355000.0,345000.0,5.875,False,False,False,False,False,False,False,False,True,False,False,False,False
95.0,325000.0,295000.0,5.125,False,False,False,False,False,False,False,False,True,False,False,False,False
96.0,545000.0,705000.0,12.0,False,False,False,False,False,False,False,True,False,False,False,False,False
96.0,355000.0,285000.0,7.475,False,False,False,False,False,False,False,True,False,False,False,False,False
265.0,465000.0,365000.0,6.25,False,False,False,False,False,False,False,False,True,False,False,False,False
151.0,365000.0,355000.0,5.875,False,False,True,False,False,False,False,False,False,False,False,False,False
204.0,335000.0,325000.0,6.25,False,False,False,False,False,False,False,True,False,False,False,False,False
96.0,405000.0,365000.0,6.499,False,False,False,False,False,False,False,True,False,False,False,False,False
61.0,135000.0,105000.0,6.998,False,False,False,False,False,False,False,False,True,False,False,False,False
266.0,425000.0,225000.0,6.5,False,False,False,False,False,False,False,False,True,False,False,False,False
225.0,835000.0,535000.0,7.375,False,False,False,False,False,False,False,False,True,False,False,False,False
193.0,475000.0,225000.0,7.49,False,False,False,False,False,False,False,False,True,False,False,False,False
75.0,305000.0,295000.0,6.875,False,False,False,False,False,False,False,True,False,False,False,False,False
111.0,305000.0,305000.0,6.75,False,False,False,False,False,False,False,True,False,False,False,False,False
82.0,385000.0,5000.0,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False
85.0,305000.0,265000.0,6.75,False,False,False,False,False,False,False,False,True,False,False,False,False
73.0,375000.0,355000.0,7.0,False,False,False,True,False,False,False,False,False,False,False,False,False
85.0,235000.0,215000.0,7.25,False,False,False,False,False,False,False,False,True,False,False,False,False
102.0,265000.0,265000.0,6.25,False,False,False,False,False,False,False,False,True,False,False,False,False
75.0,285000.0,235000.0,6.999,False,False,False,False,False,False,False,False,True,False,False,False,False
75.0,305000.0,295000.0,7.75,False,False,False,False,False,False,False,False,True,False,False,False,False
232.0,655000.0,675000.0,6.99,False,False,False,False,False,False,False,False,True,False,False,False,False
82.0,335000.0,325000.0,6.25,False,False,False,False,False,False,False,False,True,False,False,False,False
173.0,525000.0,315000.0,7.25,False,False,False,False,False,False,False,False,True,False,False,False,False
88.0,305000.0,295000.0,7.375,False,False,False,False,False,False,False,False,True,False,False,False,False
67.0,205000.0,195000.0,6.25,False,False,False,False,False,False,False,False,True,False,False,False,False
96.0,925000.0,725000.0,7.0,False,False,False,False,False,False,False,True,False,False,False,False,False
96.0,265000.0,255000.0,7.5,False,False,False,False,False,False,False,True,False,False,False,False,False
60.0,245000.0,15000.0,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False
65.0,255000.0,235000.0,6.375,False,False,False,False,False,False,False,False,True,False,False,False,False
172.0,595000.0,565000.0,7.49,False,False,False,False,False,False,False,False,True,False,False,False,False
